Queue,cutoff_fraction,Window size,Model name,Window number,Window start time,Window end time,Total jobs in window,test_accuracy_score,test_acc_lastbin_given_bin0_incorrect,test_acc_lastbin_given_bin01_incorrect,test_acc_lastbin_given_bin012_incorrect,test_acc_lastbin_given_bin0123_incorrect,future_accuracy_score,future_acc_lastbin_given_bin0_incorrect,future_acc_lastbin_given_bin01_incorrect,future_acc_lastbin_given_bin012_incorrect,future_acc_lastbin_given_bin0123_incorrect
normal,0.9,6,HistGradientBoostingClassifier,0,2022-02-01 00:10:00,2022-03-03 03:54:24,37585,  0.9302394324563996,0.939728779507785,0.9296835760924159,0.9171270718232044,0.9010547463586137,0.5421654695397712,0.9869281045751634,0.9869281045751634,0.954248366013072,0.8986928104575164
normal,0.9,6,HistGradientBoostingClassifier,1,2022-03-03 04:10:13,2022-04-02 07:27:45,45268,  0.9364339182721806,0.9914570479354533,0.9862363550071191,0.9667774086378738,0.943046986236355,0.6125469405787497,0.8676470588235294,0.6323529411764706,0.3382352941176471,0.19852941176470587
normal,0.9,6,HistGradientBoostingClassifier,2,2022-04-02 08:06:40,2022-05-02 11:43:14,62679,  0.9716387485597802,0.9495798319327731,0.9439775910364145,0.927170868347339,0.907563025210084,0.9939374601148692,1,1,1,1
normal,0.9,6,HistGradientBoostingClassifier,3,2022-05-02 12:27:23,2022-06-01 16:02:17,53283,  0.983630486914816,0.9781021897810219,0.9708029197080292,0.9671532846715328,0.9562043795620438,0.9457684368549446,0.0,0.0,0.0,0.0
normal,0.9,6,HistGradientBoostingClassifier,4,2022-06-01 16:03:19,2022-07-01 20:00:56,58238,  0.9471525326719451,0.9856115107913669,0.9712230215827338,0.9532374100719424,0.9112709832134293,0.9793956043956044,1,1,1,1
normal,0.9,6,HistGradientBoostingClassifier,5,2022-07-01 20:00:58,2022-07-31 23:59:09,64342,  0.9816957347608358,0.9397590361445783,0.9216867469879518,0.8975903614457831,0.8734939759036144,0.8929292929292929,0.7001733102253033,0.6741767764298093,0.6533795493934142,0.6412478336221837
normal,0.9,6,KNeighborsRegressor,0,2022-02-01 00:10:00,2022-03-03 03:54:24,37585,  0.918120011823825,0.946524064171123,0.9401069518716577,0.9320855614973262,0.9176470588235294,0.656291566906092,0.9194991055456172,0.8881932021466905,0.8613595706618963,0.7522361359570662
normal,0.9,6,KNeighborsRegressor,1,2022-03-03 04:10:13,2022-04-02 07:27:45,45268,  0.9228126150447907,0.9957983193277311,0.9910714285714286,0.9774159663865546,0.9684873949579832,0.5628451513143362,0.8884462151394422,0.8167330677290837,0.5059760956175299,0.2788844621513944
normal,0.9,6,KNeighborsRegressor,2,2022-04-02 08:06:40,2022-05-02 11:43:14,62679,  0.9656119826287335,0.9558359621451105,0.9463722397476341,0.943217665615142,0.9369085173501577,0.9955328653477984,1.0,1.0,1.0,1
normal,0.9,6,KNeighborsRegressor,3,2022-05-02 12:27:23,2022-06-01 16:02:17,53283,  0.9803982900636012,0.9790794979079498,0.9748953974895398,0.9748953974895398,0.9748953974895398,0.9534621880277726,0.0,0.0,0.0,0.0
normal,0.9,6,KNeighborsRegressor,4,2022-06-01 16:03:19,2022-07-01 20:00:56,58238,  0.9394257369073739,0.9875,0.975,0.9694444444444444,0.9416666666666667,0.9783653846153846,1,1,1,1
normal,0.9,6,KNeighborsRegressor,5,2022-07-01 20:00:58,2022-07-31 23:59:09,64342,  0.9849766879640822,0.9466666666666667,0.9333333333333333,0.9333333333333333,0.9266666666666666,0.873970473970474,0.5859375,0.533203125,0.51171875,0.501953125
