Queue,cutoff_fraction,Window size,Model name,Window number,Window start time,Window end time,Total jobs in window,test_r2score,test_mae,test_rmse,future_r2score,future_mae,future_rmse,test_acc_score_class_after_reg,future_acc_score_class_after_reg
skx-normal,0.9,6,HistGradientBoostingRegressor,0,2022-02-01 00:06:58,2022-03-03 04:05:20,35812,  0.83070898592366,77.88929779878849,222.88939776327783,0.687163560585762,      126.48537061476024,313.69577213212125, 0.8724790567793981,0.7953657174762703
skx-normal,0.9,6,HistGradientBoostingRegressor,1,2022-03-03 04:08:00,2022-04-02 08:02:26,31191,  0.9224998589383321,67.10051240228101,153.72288044868043,0.5096894122527422,      85.57245069092826,176.52885154148402, 0.8083704363312556,0.7550496954151972
skx-normal,0.9,6,HistGradientBoostingRegressor,2,2022-04-02 08:05:22,2022-05-02 12:02:18,31960,  0.8767547954403452,48.398289045581194,110.18469321849047,0.3612663738198,      69.7159712813767,147.17600778952524, 0.8122718581609595,0.6689612015018773
skx-normal,0.9,6,HistGradientBoostingRegressor,3,2022-05-02 12:04:54,2022-06-01 15:50:05,44785,  0.936583528887728,38.8301666664328,101.88595627789807,0.7461983689560872,      101.8840441611882,239.73197185217887, 0.886876705532126,0.7159446181330952
skx-normal,0.9,6,HistGradientBoostingRegressor,4,2022-06-01 16:12:56,2022-07-01 19:51:47,25366,  0.9259808054112566,57.07260090676535,149.91901920824864,0.7761842253601965,      203.40379942464986,405.4458138008206, 0.7963206307490145,0.5380370516357903
skx-normal,0.9,6,HistGradientBoostingRegressor,5,2022-07-01 20:00:29,2022-07-31 23:58:14,24799,  0.8785036399225861,70.80416891285581,162.59184734351282,0.3401141767321487,      171.95284542077374,434.70210099521586, 0.7717293906810035,0.7463709677419355
skx-normal,0.9,6,KNeighborsRegressor,0,2022-02-01 00:06:58,2022-03-03 04:05:20,35812,  0.8047192816159835,57.49488054607509,239.3878694666494,0.5200438299205444,      191.00893355667225,388.5534665175762, 0.9365497983245423,0.4684533780011167
skx-normal,0.9,6,KNeighborsRegressor,1,2022-03-03 04:08:00,2022-04-02 08:02:26,31191,  0.9305017503578062,42.29269813000891,145.5707771416143,0.20450240103450856,      104.4081436357807,224.8534195331025, 0.8968833481745325,0.7714010900929785
skx-normal,0.9,6,KNeighborsRegressor,2,2022-04-02 08:05:22,2022-05-02 12:02:18,31960,  0.8628228728870371,34.18164435946463,116.24575524604671,0.10073384558318654,      85.1520650813517,174.63096437100276, 0.8941421866852077,0.6226533166458073
skx-normal,0.9,6,KNeighborsRegressor,3,2022-05-02 12:04:54,2022-06-01 15:50:05,44785,  0.9280419820846277,25.873542545274127,108.5307705242296,0.6287086556655934,      127.13499330058062,289.95871448817906, 0.9285537087571323,0.7154979901741849
skx-normal,0.9,6,KNeighborsRegressor,4,2022-06-01 16:12:56,2022-07-01 19:51:47,25366,  0.9345356353595585,36.116513359614544,140.98958537568114,0.6906251521195457,      248.40047299960582,476.68334234451976, 0.8747262374069207,0.4572329523058731
skx-normal,0.9,6,KNeighborsRegressor,5,2022-07-01 20:00:29,2022-07-31 23:58:14,24799,  0.8651720288725118,54.38239247311828,171.28018825825987,0.22036052138289963,      220.1209677419355,472.5026529623422, 0.8550627240143369,0.5556451612903226
